,brand,ram,storage,battery,charging,price
91,OPPO,8.0,256.0,5100.0,45.0,5990000.0
92,Tecno,3.0,64.0,5000.0,15.0,1990000.0
93,OPPO,8.0,256.0,5000.0,45.0,7290000.0
94,vivo,6.0,128.0,5500.0,15.0,4290000.0
95,vivo,4.0,128.0,5500.0,15.0,3990000.0
96,vivo,8.0,128.0,5500.0,15.0,4590000.0
97,HONOR,8.0,512.0,4500.0,35.0,5690000.0
98,HONOR,6.0,128.0,5200.0,35.0,3590000.0
99,iPhone,4.0,128.0,3240.0,20.0,11990000.0
100,iPhone,4.0,512.0,3240.0,20.0,21990000.0
101,iPhone,4.0,64.0,2815.0,20.0,9990000.0
102,iPhone,4.0,128.0,2815.0,20.0,11590000.0
103,iPhone,4.0,256.0,2815.0,20.0,14990000.0
104,iPhone,4.0,64.0,2815.0,20.0,9990000.0
105,iPhone,4.0,128.0,2815.0,20.0,11590000.0
106,Xiaomi,6.0,128.0,5030.0,33.0,3690000.0
107,Xiaomi,8.0,128.0,5030.0,33.0,3490000.0
108,Xiaomi,3.0,64.0,5000.0,10.0,1790000.0
110,Samsung,12.0,256.0,4000.0,25.0,19290000.0
111,Samsung,12.0,512.0,4000.0,25.0,22290000.0
112,Xiaomi,6.0,128.0,5160.0,18.0,3390000.0
113,Xiaomi,4.0,128.0,5160.0,18.0,2690000.0
114,OPPO,16.0,512.0,5630.0,80.0,21990000.0
115,OPPO,16.0,512.0,5910.0,80.0,25990000.0
116,realme,8.0,256.0,5000.0,67.0,6390000.0
117,realme,8.0,512.0,5000.0,67.0,6790000.0
118,vivo,4.0,64.0,5500.0,15.0,2990000.0
119,realme,4.0,64.0,5000.0,10.0,2990000.0
120,realme,3.0,64.0,5000.0,10.0,2590000.0
121,vivo,12.0,256.0,5500.0,44.0,8990000.0
122,realme,3.0,64.0,5000.0,10.0,2490000.0
123,realme,4.0,128.0,5000.0,10.0,2690000.0
124,vivo,12.0,512.0,5000.0,80.0,12790000.0
125,realme,6.0,128.0,5000.0,10.0,3790000.0
126,realme,4.0,64.0,5000.0,10.0,2890000.0
127,realme,4.0,128.0,5000.0,10.0,3390000.0
128,realme,4.0,128.0,5000.0,15.0,3490000.0
129,OPPO,8.0,256.0,5800.0,45.0,9990000.0
130,OPPO,12.0,256.0,5800.0,45.0,10690000.0
131,OPPO,12.0,512.0,5800.0,45.0,11490000.0
132,Nokia,0.046875,196.7659574468085,1450.0,2.75,680000.0
133,Viettel,0.046875,196.7659574468085,1400.0,2.5,550000.0
134,Xiaomi,6.0,128.0,5030.0,33.0,3990000.0
135,Mobell,0.046875,196.7659574468085,1000.0,2.5,420000.0
136,Masstel,0.046875,196.7659574468085,1000.0,2.5,410000.0
137,Nokia,0.0625,196.7659574468085,1450.0,2.5,990000.0
138,Nokia,6.877808988764045,196.7659574468085,1450.0,2.5,650000.0
139,Masstel,0.046875,196.7659574468085,1800.0,2.5,500000.0
140,Benco,0.046875,196.7659574468085,1000.0,2.5,380000.0
141,Masstel,0.046875,196.7659574468085,1750.0,2.5,600000.0
142,iPhone,8.0,128.0,4500.0,20.0,25490000.0
143,iPhone,8.0,256.0,4500.0,20.0,28690000.0
144,iPhone,8.0,512.0,4500.0,20.0,34690000.0
145,iPhone,8.0,1024.0,4500.0,20.0,40790000.0
146,Nokia,0.046875,196.7659574468085,1450.0,5.0,750000.0
147,vivo,8.0,128.0,6000.0,44.0,5090000.0
148,vivo,8.0,256.0,6000.0,44.0,5690000.0
149,OPPO,12.0,256.0,5000.0,80.0,9490000.0
150,OPPO,12.0,512.0,5000.0,80.0,12490000.0
151,OPPO,12.0,256.0,5000.0,80.0,9490000.0
152,Mobell,0.046875,196.7659574468085,1600.0,2.5,760000.0
153,Samsung,8.0,128.0,5000.0,45.0,7990000.0
154,Samsung,8.0,256.0,5000.0,45.0,8990000.0
155,Samsung,12.0,256.0,5000.0,45.0,9990000.0
156,vivo,4.0,128.0,5000.0,15.0,3290000.0
157,vivo,4.0,64.0,5000.0,15.0,2690000.0
158,Mobell,0.046875,196.7659574468085,2000.0,2.5,700000.0
159,Samsung,6.0,128.0,5000.0,25.0,6590000.0
160,Samsung,12.0,256.0,4900.0,45.0,22790000.0
161,Samsung,12.0,512.0,4900.0,45.0,25790000.0
162,HONOR,8.0,256.0,6000.0,35.0,4990000.0
163,OPPO,12.0,512.0,5000.0,80.0,13990000.0
164,Nokia,0.0625,196.7659574468085,1450.0,2.5,1590000.0
165,Mobell,0.046875,196.7659574468085,1000.0,2.5,550000.0
166,Xiaomi,8.0,256.0,5110.0,45.0,7290000.0
167,Samsung,12.0,256.0,5000.0,25.0,9690000.0
168,Samsung,8.0,256.0,5000.0,25.0,8690000.0
169,Tecno,6.0,128.0,5000.0,18.0,2990000.0
170,Samsung,12.0,256.0,4000.0,25.0,18490000.0
171,Samsung,12.0,512.0,4000.0,25.0,24890000.0
172,Mobell,0.046875,196.7659574468085,1500.0,2.5,620000.0
173,Samsung,8.0,128.0,5000.0,25.0,5390000.0
174,Samsung,4.0,128.0,5000.0,25.0,4590000.0
175,Samsung,8.0,256.0,5000.0,25.0,5890000.0
176,Masstel,0.046875,196.7659574468085,2300.0,2.5,700000.0
177,vivo,8.0,256.0,5000.0,80.0,6490000.0
178,vivo,8.0,128.0,5000.0,80.0,6090000.0
179,vivo,4.0,128.0,5000.0,15.0,3790000.0
180,vivo,8.0,128.0,5000.0,15.0,4290000.0
181,OPPO,12.0,256.0,4300.0,44.0,16490000.0
182,OPPO,12.0,256.0,5000.0,45.0,9190000.0
183,OPPO,8.0,256.0,5000.0,45.0,7490000.0
184,Itel,0.015625,196.7659574468085,2000.0,1.75,560000.0
185,OPPO,6.0,128.0,5000.0,33.0,3890000.0
186,Itel,6.877808988764045,196.7659574468085,1000.0,1.75,430000.0
187,HONOR,12.0,256.0,5200.0,100.0,11990000.0
188,HONOR,12.0,512.0,5200.0,100.0,12190000.0
190,iPhone,8.0,1024.0,3274.0,20.0,37990000.0
191,OPPO,16.0,512.0,4805.0,67.0,31990000.0
192,OPPO,8.0,128.0,5000.0,33.0,4790000.0
193,HONOR,12.0,512.0,5150.0,66.0,37990000.0
195,Xiaomi,3.0,64.0,6000.0,90.0,2490000.0
196,Xiaomi,4.0,196.7659574468085,6000.0,90.0,2990000.0
197,Samsung,8.0,256.0,5000.0,25.0,8990000.0
198,Samsung,16.0,512.0,5000.0,45.0,35990000.0
199,Samsung,12.0,256.0,3700.0,25.0,29990000.0
200,Samsung,16.0,512.0,4500.0,45.0,44990000.0
201,Xiaomi,16.0,512.0,5000.0,50.0,31990000.0
202,Xiaomi,6.0,128.0,5500.0,33.0,4990000.0
203,OPPO,16.0,1024.0,5400.0,100.0,47990000.0
204,realme,12.0,256.0,5000.0,65.0,13990000.0
205,Vivo,12.0,512.0,5000.0,80.0,11990000.0
206,Vivo,16.0,1024.0,5400.0,100.0,39990000.0
207,Asus,16.0,512.0,6000.0,65.0,32990000.0
208,Asus,8.0,256.0,4300.0,30.0,18990000.0
209,Xiaomi,16.0,512.0,5000.0,50.0,31990000.0
210,Xiaomi,6.0,128.0,5500.0,33.0,4990000.0
211,OPPO,16.0,1024.0,5400.0,100.0,47990000.0
212,realme,12.0,256.0,5000.0,65.0,13990000.0
213,Vivo,8.0,256.0,4500.0,30.0,9990000.0
214,Vivo,12.0,256.0,5000.0,44.0,17990000.0
215,Vivo,8.0,128.0,4000.0,18.0,10990000.0
216,realme,8.0,128.0,5000.0,33.0,9990000.0
217,realme,6.0,128.0,5000.0,33.0,8490000.0
218,OPPO,8.0,256.0,5000.0,33.0,13990000.0
219,OPPO,8.0,128.0,4310.0,30.0,12990000.0
220,OPPO,8.0,128.0,4300.0,30.0,11990000.0
221,OPPO,6.0,128.0,5000.0,33.0,9990000.0
222,OPPO,8.0,128.0,4300.0,30.0,11990000.0
223,Motorola,16.0,512.0,4600.0,80.0,39990000.0
224,Motorola,12.0,256.0,4800.0,68.0,28990000.0
225,Motorola,8.0,128.0,5000.0,33.0,15990000.0
226,Motorola,8.0,256.0,3500.0,30.0,28990000.0
227,Asus,8.0,256.0,4300.0,30.0,17990000.0
228,Asus,8.0,128.0,4000.0,30.0,13990000.0
229,Asus,16.0,512.0,6000.0,65.0,36990000.0
230,Asus,16.0,1024.0,6000.0,65.0,41990000.0
231,Samsung,8.0,128.0,5000.0,15.0,6490000.0
232,Samsung,6.0,128.0,5000.0,15.0,6990000.0
233,Huawei,12.0,256.0,4800.0,66.0,34990000.0
234,Huawei,8.0,256.0,4700.0,66.0,29990000.0
235,Huawei,8.0,128.0,4500.0,40.0,19990000.0
236,Honor,12.0,256.0,4600.0,66.0,28990000.0
237,Honor,8.0,128.0,4500.0,66.0,16990000.0
238,OnePlus,12.0,256.0,5000.0,100.0,24990000.0
239,OnePlus,12.0,256.0,5000.0,65.0,22990000.0
240,OnePlus,8.0,128.0,4500.0,65.0,15990000.0
241,OnePlus,8.0,128.0,4500.0,33.0,15990000.0
242,OnePlus,8.0,128.0,4500.0,65.0,13990000.0
243,iPhone,4.0,64.0,2815.0,20.0,12990000.0
244,iPhone,6.0,128.0,3687.0,20.0,17490000.0
245,iPhone,4.0,64.0,3110.0,18.0,10990000.0
246,iPhone,4.0,64.0,3046.0,18.0,13490000.0
247,iPhone,4.0,64.0,3174.0,18.0,14990000.0
248,iPhone,3.0,64.0,2716.0,18.0,11490000.0
249,Samsung,6.0,128.0,3100.0,15.0,9990000.0
250,Samsung,8.0,128.0,3400.0,15.0,12490000.0
251,Samsung,8.0,128.0,4100.0,15.0,14490000.0
252,Samsung,8.0,256.0,3500.0,25.0,14990000.0
253,Samsung,6.0,128.0,4000.0,18.0,10990000.0
254,Samsung,6.0,64.0,3300.0,15.0,8990000.0
255,Samsung,8.0,128.0,3700.0,25.0,9490000.0
256,Samsung,6.0,128.0,4500.0,25.0,7990000.0
257,Samsung,4.0,64.0,4000.0,15.0,6490000.0
258,Xiaomi,6.0,64.0,4000.0,18.0,6290000.0
259,Xiaomi,6.0,128.0,3300.0,27.0,8490000.0
260,Xiaomi,6.0,64.0,3400.0,18.0,6490000.0
261,Xiaomi,6.0,128.0,5020.0,30.0,6990000.0
